pair_id	protein_A	protein_B	label	data_source	evidence_type	label_scope	complex_id_A	complex_id_B	length_A	length_B
PP_POS__1GP2_DH_l__1GP2_A_r	1GP2_A_r	1GP2_DH_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1GP2	1GP2	310	405
PP_POS__1GPW_F_l__1GPW_D_r	1GPW_D_r	1GPW_F_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1GPW	1GPW	253	200
PP_POS__1GRN_A_l__1GRN_A_r	1GRN_A_l	1GRN_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GRN	1GRN	189	190
PP_POS__1GXD_A_l__1GXD_A_r	1GXD_A_l	1GXD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GXD	1GXD	182	619
PP_POS__1H1V_B_l__1H1V_B_r	1H1V_B_l	1H1V_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1H1V	1H1V	729	371
PP_POS__1H9D_A_l__1H9D_A_r	1H9D_A_l	1H9D_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1H9D	1H9D	141	114
PP_POS__1HCF_X_l__1HCF_AM_r	1HCF_AM_r	1HCF_X_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1HCF	1HCF	216	86
PP_POS__1HE8_A_l__1HE8_A_r	1HE8_A_l	1HE8_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1HE8	1HE8	166	839
PP_POS__1I2M_A_l__1I2M_A_r	1I2M_A_l	1I2M_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1I2M	1I2M	401	202
PP_POS__1I9R_LH_l__1I9R_ABC_r	1I9R_ABC_r	1I9R_LH_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1I9R	1I9R	438	434
PP_POS__1IB1_A_l__1IB1_AB_r	1IB1_AB_r	1IB1_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1IB1	1IB1	460	166
PP_POS__1IBR_A_l__1IBR_A_r	1IBR_A_l	1IBR_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1IBR	1IBR	440	184
PP_POS__1IJK_A_l__1IJK_AB_r	1IJK_AB_r	1IJK_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1IJK	1IJK	254	208
PP_POS__1IRA_1_l__1IRA_R_r	1IRA_1_l	1IRA_R_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1IRA	1IRA	145	310
PP_POS__1JK9_A_l__1JK9_A_r	1JK9_A_l	1JK9_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JK9	1JK9	153	219
PP_POS__1JMO_HL_l__1JMO_A_r	1JMO_A_r	1JMO_HL_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1JMO	1JMO	386	278
PP_POS__1JPS_B_l__1JPS_LH_r	1JPS_B_l	1JPS_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JPS	1JPS	182	425
PP_POS__1JWH_A_l__1JWH_AB_r	1JWH_AB_r	1JWH_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1JWH	1JWH	366	328
PP_POS__1JZD_A_l__1JZD_AB_r	1JZD_AB_r	1JZD_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1JZD	1JZD	431	116
PP_POS__1K4C_A_l__1K4C_AB_r	1K4C_AB_r	1K4C_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1K4C	1K4C	431	97
PP_POS__1K5D_B_l__1K5D_AB_r	1K5D_AB_r	1K5D_B_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1K5D	1K5D	338	343
PP_POS__1K74_A_l__1K74_AB_r	1K74_AB_r	1K74_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1K74	1K74	235	272
PP_POS__1KAC_B_l__1KAC_F_r	1KAC_B_l	1KAC_F_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KAC	1KAC	121	185
PP_POS__1KLU_A_l__1KLU_AB_r	1KLU_AB_r	1KLU_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1KLU	1KLU	369	238
PP_POS__1KTZ_A_l__1KTZ_A_r	1KTZ_A_l	1KTZ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KTZ	1KTZ	105	112
PP_POS__1KXP_B_l__1KXP_B_r	1KXP_B_l	1KXP_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KXP	1KXP	453	371
PP_POS__1LFD_A_l__1LFD_A_r	1LFD_A_l	1LFD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1LFD	1LFD	87	166
PP_POS__1M10_B_l__1M10_A_r	1M10_A_r	1M10_B_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1M10	1M10	208	266
PP_POS__1M27_A_l__1M27_AB_r	1M27_AB_r	1M27_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1M27	1M27	115	57
PP_POS__1MAH_A_l__1MAH_B_r	1MAH_A_l	1MAH_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1MAH	1MAH	61	533
PP_POS__1ML0_A_l__1ML0_AB_r	1ML0_AB_r	1ML0_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1ML0	1ML0	742	71
PP_POS__1MLC_A_l__1MLC_AB_r	1MLC_AB_r	1MLC_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1MLC	1MLC	432	129
PP_POS__1MQ8_A_l__1MQ8_A_r	1MQ8_A_l	1MQ8_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1MQ8	1MQ8	173	185
PP_POS__1N2C_AB_l__1N2C_ABCD_r	1N2C_ABCD_r	1N2C_AB_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1N2C	1N2C	1979	575
PP_POS__1NCA_A_l__1NCA_LH_r	1NCA_A_l	1NCA_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1NCA	1NCA	388	435
PP_POS__1NSN_A_l__1NSN_LH_r	1NSN_A_l	1NSN_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1NSN	1NSN	137	427
PP_POS__1OFU_A_l__1OFU_AB_r	1OFU_AB_r	1OFU_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1OFU	1OFU	238	306
PP_POS__1OYV_A_l__1OYV_A_r	1OYV_A_l	1OYV_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1OYV	1OYV	115	274
PP_POS__1PVH_A_l__1PVH_A_r	1PVH_A_l	1PVH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1PVH	1PVH	159	208
PP_POS__1PXV_A_l__1PXV_A_r	1PXV_A_l	1PXV_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1PXV	1PXV	111	175
PP_POS__1QFW_AB_l__1QFW_IM_r	1QFW_AB_l	1QFW_IM_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1QFW	1QFW	196	229
PP_POS__1R6Q_A_l__1R6Q_X_r	1R6Q_A_l	1R6Q_X_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1R6Q	1R6Q	89	142
PP_POS__1R8S_E_l__1R8S_A_r	1R8S_A_r	1R8S_E_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1R8S	1R8S	180	195
PP_POS__1RKE_A_l__1RKE_A_r	1RKE_A_l	1RKE_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1RKE	1RKE	163	259
PP_POS__1RLB_A_l__1RLB_ABCD_r	1RLB_ABCD_r	1RLB_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1RLB	1RLB	456	175
PP_POS__1S1Q_A_l__1S1Q_A_r	1S1Q_A_l	1S1Q_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1S1Q	1S1Q	70	143
PP_POS__1S78_A_l__1S78_HL_r	1S78_A_l	1S78_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1S78	1S78	506	436
PP_POS__1SBB_A_l__1SBB_A_r	1SBB_A_l	1SBB_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1SBB	1SBB	239	238
PP_POS__1SYX_A_l__1SYX_A_r	1SYX_A_l	1SYX_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1SYX	1SYX	62	131
PP_POS__1T6B_X_l__1T6B_A_r	1T6B_A_r	1T6B_X_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1T6B	1T6B	665	181
PP_POS__1TMQ_A_l__1TMQ_A_r	1TMQ_A_l	1TMQ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1TMQ	1TMQ	117	470
PP_POS__1US7_A_l__1US7_A_r	1US7_A_l	1US7_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1US7	1US7	129	207
PP_POS__1VFB_A_l__1VFB_AB_r	1VFB_AB_r	1VFB_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1VFB	1VFB	224	129
PP_POS__1WEJ_A_l__1WEJ_LH_r	1WEJ_A_l	1WEJ_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1WEJ	1WEJ	104	433
PP_POS__1XD3_A_l__1XD3_A_r	1XD3_A_l	1XD3_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1XD3	1XD3	70	206
PP_POS__1XQS_A_l__1XQS_A_r	1XQS_A_l	1XQS_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1XQS	1XQS	193	259
PP_POS__1XU1_A_l__1XU1_ABD_r	1XU1_ABD_r	1XU1_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1XU1	1XU1	404	39
PP_POS__1Y64_A_l__1Y64_A_r	1Y64_A_l	1Y64_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1Y64	1Y64	360	411
PP_POS__1YVB_I_l__1YVB_A_r	1YVB_A_r	1YVB_I_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1YVB	1YVB	241	108
PP_POS__1ZHI_A_l__1ZHI_A_r	1ZHI_A_l	1ZHI_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZHI	1ZHI	114	203
PP_POS__1ZLI_A_l__1ZLI_A_r	1ZLI_A_l	1ZLI_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZLI	1ZLI	75	402
PP_POS__1ZM4_A_l__1ZM4_C_r	1ZM4_A_l	1ZM4_C_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZM4	1ZM4	204	825
PP_POS__2A1A_A_l__2A1A_A_r	2A1A_A_l	2A1A_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2A1A	2A1A	174	255
PP_POS__2A9K_X_l__2A9K_A_r	2A9K_A_r	2A9K_X_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2A9K	2A9K	168	201
PP_POS__2ABZ_A_l__2ABZ_A_r	2ABZ_A_l	2ABZ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2ABZ	2ABZ	62	303
PP_POS__2B42_A_l__2B42_X_r	2B42_A_l	2B42_X_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2B42	2B42	185	362
PP_POS__2BTF_A_l__2BTF_B_r	2BTF_A_l	2BTF_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2BTF	2BTF	139	371
PP_POS__2C0L_A_l__2C0L_A_r	2C0L_A_l	2C0L_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2C0L	2C0L	123	302
PP_POS__2FJU_A_l__2FJU_X_r	2FJU_A_l	2FJU_X_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2FJU	2FJU	183	708
PP_POS__2G77_A_l__2G77_A_r	2G77_A_l	2G77_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2G77	2G77	165	314
PP_POS__2GTP_A_l__2GTP_A_r	2GTP_A_l	2GTP_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2GTP	2GTP	134	313
PP_POS__2HMI_CD_l__2HMI_AB_r	2HMI_AB_r	2HMI_CD_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2HMI	2HMI	979	434
PP_POS__2HQS_A_l__2HQS_A_r	2HQS_A_l	2HQS_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2HQS	2HQS	108	397
PP_POS__2HRK_A_l__2HRK_A_r	2HRK_A_l	2HRK_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2HRK	2HRK	103	180
PP_POS__2I9B_A_l__2I9B_A_r	2I9B_A_l	2I9B_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2I9B	2I9B	123	268
PP_POS__2IDO_A_l__2IDO_A_r	2IDO_A_l	2IDO_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2IDO	2IDO	66	174
PP_POS__2J0T_A_l__2J0T_A_r	2J0T_A_l	2J0T_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2J0T	2J0T	126	157
PP_POS__2J7P_D_l__2J7P_A_r	2J7P_A_r	2J7P_D_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2J7P	2J7P	294	259
PP_POS__2JEL_A_l__2JEL_LH_r	2JEL_A_l	2JEL_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2JEL	2JEL	85	435
PP_POS__2MTA_A_l__2MTA_MJ_r	2MTA_A_l	2MTA_MJ_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2MTA	2MTA	105	480
PP_POS__2NZ8_A_l__2NZ8_A_r	2NZ8_A_l	2NZ8_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2NZ8	2NZ8	183	305
PP_POS__2O3B_A_l__2O3B_A_r	2O3B_A_l	2O3B_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2O3B	2O3B	135	239
PP_POS__2O8V_A_l__2O8V_A_r	2O8V_A_l	2O8V_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2O8V	2O8V	108	215
PP_POS__2OOB_A_l__2OOB_A_r	2OOB_A_l	2OOB_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2OOB	2OOB	70	41
PP_POS__2OOR_A_l__2OOR_AB_r	2OOR_AB_r	2OOR_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2OOR	2OOR	729	175
PP_POS__2OUL_A_l__2OUL_A_r	2OUL_A_l	2OUL_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2OUL	2OUL	110	236
PP_POS__2OZA_X_l__2OZA_A_r	2OZA_A_r	2OZA_X_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2OZA	2OZA	329	282
PP_POS__2PCC_A_l__2PCC_A_r	2PCC_A_l	2PCC_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2PCC	2PCC	108	293
PP_POS__2SIC_A_l__2SIC_A_r	2SIC_A_l	2SIC_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2SIC	2SIC	108	275
PP_POS__2UUY_A_l__2UUY_A_r	2UUY_A_l	2UUY_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2UUY	2UUY	55	223
PP_POS__2VDB_A_l__2VDB_A_r	2VDB_A_l	2VDB_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2VDB	2VDB	56	582
PP_POS__2VIS_A_l__2VIS_LH_r	2VIS_A_l	2VIS_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2VIS	2VIS	320	431
PP_POS__2W9E_A_l__2W9E_HL_r	2W9E_A_l	2W9E_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2W9E	2W9E	104	425
PP_POS__2YVJ_A_l__2YVJ_A_r	2YVJ_A_l	2YVJ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2YVJ	2YVJ	108	401
PP_POS__3AAD_A_l__3AAD_A_r	3AAD_A_l	3AAD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3AAD	3AAD	156	267
PP_POS__3BIW_A_l__3BIW_A_r	3BIW_A_l	3BIW_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3BIW	3BIW	182	555
PP_POS__3BP8_A_l__3BP8_AB_r	3BP8_AB_r	3BP8_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	3BP8	3BP8	746	74
PP_POS__3BX7_A_l__3BX7_A_r	3BX7_A_l	3BX7_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3BX7	3BX7	121	167
PP_POS__3CPH_C_l__3CPH_G_r	3CPH_C_l	3CPH_G_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3CPH	3CPH	164	437
PP_POS__3D5S_A_l__3D5S_A_r	3D5S_A_l	3D5S_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3D5S	3D5S	61	294
PP_POS__3DAW_A_l__3DAW_A_r	3DAW_A_l	3DAW_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3DAW	3DAW	142	363
PP_POS__3EO1_AB_l__3EO1_AB_r	3EO1_AB_l	3EO1_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3EO1	3EO1	224	435
PP_POS__3FN1_A_l__3FN1_A_r	3FN1_A_l	3FN1_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3FN1	3FN1	97	173
PP_POS__3H2V_A_l__3H2V_A_r	3H2V_A_l	3H2V_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3H2V	3H2V	88	163
PP_POS__3HMX_AB_l__3HMX_LH_r	3HMX_AB_l	3HMX_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3HMX	3HMX	415	432
PP_POS__3K75_A_l__3K75_A_r	3K75_A_l	3K75_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3K75	3K75	152	242
PP_POS__3L5W_A_l__3L5W_LH_r	3L5W_A_l	3L5W_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3L5W	3L5W	113	429
PP_POS__3L89_A_l__3L89_ABC_r	3L89_ABC_r	3L89_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	3L89	3L89	550	126
PP_POS__3LVK_A_l__3LVK_AB_r	3LVK_AB_r	3LVK_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	3LVK	3LVK	787	81
PP_POS__3MJ9_A_l__3MJ9_HL_r	3MJ9_A_l	3MJ9_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3MJ9	3MJ9	227	420
PP_POS__3MXW_A_l__3MXW_LH_r	3MXW_A_l	3MXW_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3MXW	3MXW	164	432
PP_POS__3P57_A_l__3P57_AB_r	3P57_AB_r	3P57_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	3P57	3P57	180	109
PP_POS__3RVW_A_l__3RVW_CD_r	3RVW_A_l	3RVW_CD_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3RVW	3RVW	221	435
PP_POS__3SE8_A_l__3SE8_HL_r	3SE8_A_l	3SE8_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3SE8	3SE8	342	440
PP_POS__3SGQ_A_l__3SGQ_E_r	3SGQ_A_l	3SGQ_E_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3SGQ	3SGQ	51	185
PP_POS__3SZK_A_l__3SZK_AB_r	3SZK_AB_r	3SZK_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	3SZK	3SZK	287	144
PP_POS__3V6Z_F_l__3V6Z_AB_r	3V6Z_AB_r	3V6Z_F_l	1	pp_prepared	same_complex_structure_positive	structural_positive	3V6Z	3V6Z	437	142
PP_POS__3VLB_A_l__3VLB_A_r	3VLB_A_l	3VLB_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3VLB	3VLB	221	412
PP_POS__3WD5_ABC_l__3WD5_HL_r	3WD5_ABC_l	3WD5_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	3WD5	3WD5	456	423
PP_POS__4CPA_A_l__4CPA_A_r	4CPA_A_l	4CPA_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	4CPA	4CPA	39	307
PP_POS__4DN4_A_l__4DN4_LH_r	4DN4_A_l	4DN4_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	4DN4	4DN4	71	425
PP_POS__4DW2_U_l__4DW2_AB_r	4DW2_AB_r	4DW2_U_l	1	pp_prepared	same_complex_structure_positive	structural_positive	4DW2	4DW2	427	246
PP_POS__4FQI_ABCDEF_l__4FQI_HL_r	4FQI_ABCDEF_l	4FQI_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	4FQI	4FQI	1491	434
PP_POS__4FZA_A_l__4FZA_A_r	4FZA_A_l	4FZA_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	4FZA	4FZA	275	304
PP_POS__4G6J_A_l__4G6J_HL_r	4G6J_A_l	4G6J_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	4G6J	4G6J	151	430
PP_POS__4G6M_A_l__4G6M_HL_r	4G6M_A_l	4G6M_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	4G6M	4G6M	151	432
PP_POS__4H03_A_l__4H03_A_r	4H03_A_l	4H03_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	4H03	4H03	363	411
PP_POS__4JCV_A_l__4JCV_ABCD_r	4JCV_ABCD_r	4JCV_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	4JCV	4JCV	791	230
PP_POS__4LW4_A_l__4LW4_AB_r	4LW4_AB_r	4LW4_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	4LW4	4LW4	798	149
PP_POS__4M3K_A_l__4M3K_A_r	4M3K_A_l	4M3K_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	4M3K	4M3K	256	116
PP_POS__4M76_A_l__4M76_A_r	4M76_A_l	4M76_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	4M76	4M76	184	294
PP_POS__4Y7M_A_l__4Y7M_A_r	4Y7M_A_l	4Y7M_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	4Y7M	4Y7M	235	135
