pair_id	protein_A	protein_B	label	data_source	evidence_type	label_scope	complex_id_A	complex_id_B	length_A	length_B	split
PP_POS__1FFW_A_l__1FFW_A_r	1FFW_A_l	1FFW_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FFW	1FFW	69	128	train
PP_POS__1FLE_A_l__1FLE_A_r	1FLE_A_l	1FLE_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FLE	1FLE	47	240	train
PP_POS__1FQ1_A_l__1FQ1_F_r	1FQ1_A_l	1FQ1_F_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FQ1	1FQ1	290	178	train
PP_POS__1FQJ_A_l__1FQJ_C_r	1FQJ_A_l	1FQJ_C_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FQJ	1FQJ	133	316	test
PP_POS__1FSK_A_l__1FSK_BC_r	1FSK_A_l	1FSK_BC_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FSK	1FSK	159	434	train
PP_POS__1GCQ_B_l__1GCQ_B_r	1GCQ_B_l	1GCQ_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GCQ	1GCQ	67	211	val
PP_POS__1GHQ_A_l__1GHQ_A_r	1GHQ_A_l	1GHQ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GHQ	1GHQ	130	294	train
PP_POS__1GL1_A_l__1GL1_1_r	1GL1_1_r	1GL1_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1GL1	1GL1	236	34	train
PP_POS__1GLA_A_l__1GLA_O_r	1GLA_A_l	1GLA_O_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GLA	1GLA	150	497	train
PP_POS__1GP2_DH_l__1GP2_A_r	1GP2_A_r	1GP2_DH_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1GP2	1GP2	310	405	train
PP_POS__1GPW_F_l__1GPW_D_r	1GPW_D_r	1GPW_F_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1GPW	1GPW	253	200	train
PP_POS__1GRN_A_l__1GRN_A_r	1GRN_A_l	1GRN_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GRN	1GRN	189	190	train
PP_POS__1GXD_A_l__1GXD_A_r	1GXD_A_l	1GXD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GXD	1GXD	182	619	train
PP_POS__1H1V_B_l__1H1V_B_r	1H1V_B_l	1H1V_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1H1V	1H1V	729	371	train
PP_POS__1H9D_A_l__1H9D_A_r	1H9D_A_l	1H9D_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1H9D	1H9D	141	114	train
PP_POS__1HCF_X_l__1HCF_AM_r	1HCF_AM_r	1HCF_X_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1HCF	1HCF	216	86	train
PP_POS__1HE1_A_l__1HE1_A_r	1HE1_A_l	1HE1_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1HE1	1HE1	183	131	test
PP_POS__1HE8_A_l__1HE8_A_r	1HE8_A_l	1HE8_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1HE8	1HE8	166	839	train
PP_POS__1HIA_A_l__1HIA_XY_r	1HIA_A_l	1HIA_XY_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1HIA	1HIA	49	232	test
PP_POS__1I2M_A_l__1I2M_A_r	1I2M_A_l	1I2M_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1I2M	1I2M	401	202	train
PP_POS__1I4D_A_l__1I4D_AB_r	1I4D_AB_r	1I4D_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1I4D	1I4D	402	183	test
PP_POS__1I9R_LH_l__1I9R_ABC_r	1I9R_ABC_r	1I9R_LH_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1I9R	1I9R	438	434	train
PP_POS__1IB1_A_l__1IB1_AB_r	1IB1_AB_r	1IB1_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1IB1	1IB1	460	166	train
PP_POS__1IBR_A_l__1IBR_A_r	1IBR_A_l	1IBR_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1IBR	1IBR	440	184	train
PP_POS__1IJK_A_l__1IJK_AB_r	1IJK_AB_r	1IJK_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1IJK	1IJK	254	208	train
PP_POS__1IQD_M_l__1IQD_AB_r	1IQD_AB_r	1IQD_M_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1IQD	1IQD	408	159	val
PP_POS__1IRA_1_l__1IRA_R_r	1IRA_1_l	1IRA_R_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1IRA	1IRA	145	310	train
PP_POS__1J2J_A_l__1J2J_A_r	1J2J_A_l	1J2J_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1J2J	1J2J	39	166	val
PP_POS__1JIW_A_l__1JIW_A_r	1JIW_A_l	1JIW_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JIW	1JIW	99	470	val
PP_POS__1JK9_A_l__1JK9_A_r	1JK9_A_l	1JK9_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JK9	1JK9	153	219	train
PP_POS__1JMO_HL_l__1JMO_A_r	1JMO_A_r	1JMO_HL_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1JMO	1JMO	386	278	train
PP_POS__1JPS_B_l__1JPS_LH_r	1JPS_B_l	1JPS_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JPS	1JPS	182	425	train
PP_POS__1JTD_A_l__1JTD_A_r	1JTD_A_l	1JTD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JTD	1JTD	263	268	val
PP_POS__1JTG_B_l__1JTG_A_r	1JTG_A_r	1JTG_B_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1JTG	1JTG	263	165	test
PP_POS__1JWH_A_l__1JWH_AB_r	1JWH_AB_r	1JWH_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1JWH	1JWH	366	328	train
PP_POS__1JZD_A_l__1JZD_AB_r	1JZD_AB_r	1JZD_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1JZD	1JZD	431	116	train
PP_POS__1K4C_A_l__1K4C_AB_r	1K4C_AB_r	1K4C_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1K4C	1K4C	431	97	train
PP_POS__1K5D_B_l__1K5D_AB_r	1K5D_AB_r	1K5D_B_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1K5D	1K5D	338	343	train
PP_POS__1K74_A_l__1K74_AB_r	1K74_AB_r	1K74_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1K74	1K74	235	272	train
PP_POS__1KAC_B_l__1KAC_F_r	1KAC_B_l	1KAC_F_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KAC	1KAC	121	185	train
PP_POS__1KKL_A_l__1KKL_ABC_r	1KKL_ABC_r	1KKL_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1KKL	1KKL	471	87	test
PP_POS__1KLU_A_l__1KLU_AB_r	1KLU_AB_r	1KLU_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1KLU	1KLU	369	238	train
PP_POS__1KTZ_A_l__1KTZ_A_r	1KTZ_A_l	1KTZ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KTZ	1KTZ	105	112	train
PP_POS__1KXP_B_l__1KXP_B_r	1KXP_B_l	1KXP_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KXP	1KXP	453	371	train
PP_POS__1KXQ_H_l__1KXQ_A_r	1KXQ_A_r	1KXQ_H_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1KXQ	1KXQ	496	120	val
PP_POS__1LFD_A_l__1LFD_A_r	1LFD_A_l	1LFD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1LFD	1LFD	87	166	train
PP_POS__1M10_B_l__1M10_A_r	1M10_A_r	1M10_B_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1M10	1M10	208	266	train
PP_POS__1M27_A_l__1M27_AB_r	1M27_AB_r	1M27_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1M27	1M27	115	57	train
PP_POS__1MAH_A_l__1MAH_B_r	1MAH_A_l	1MAH_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1MAH	1MAH	61	533	train
PP_POS__1ML0_A_l__1ML0_AB_r	1ML0_AB_r	1ML0_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1ML0	1ML0	742	71	train
PP_POS__1MLC_A_l__1MLC_AB_r	1MLC_AB_r	1MLC_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1MLC	1MLC	432	129	train
PP_POS__1MQ8_A_l__1MQ8_A_r	1MQ8_A_l	1MQ8_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1MQ8	1MQ8	173	185	train
PP_POS__1N2C_AB_l__1N2C_ABCD_r	1N2C_ABCD_r	1N2C_AB_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1N2C	1N2C	1979	575	train
PP_POS__1NCA_A_l__1NCA_LH_r	1NCA_A_l	1NCA_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1NCA	1NCA	388	435	train
PP_POS__1NSN_A_l__1NSN_LH_r	1NSN_A_l	1NSN_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1NSN	1NSN	137	427	train
PP_POS__1NW9_A_l__1NW9_A_r	1NW9_A_l	1NW9_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1NW9	1NW9	100	242	test
PP_POS__1OC0_A_l__1OC0_A_r	1OC0_A_l	1OC0_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1OC0	1OC0	36	373	test
PP_POS__1OFU_A_l__1OFU_AB_r	1OFU_AB_r	1OFU_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1OFU	1OFU	238	306	train
PP_POS__1OPH_A_l__1OPH_A_r	1OPH_A_l	1OPH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1OPH	1OPH	223	372	test
PP_POS__1OYV_A_l__1OYV_A_r	1OYV_A_l	1OYV_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1OYV	1OYV	115	274	train
PP_POS__1PPE_A_l__1PPE_A_r	1PPE_A_l	1PPE_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1PPE	1PPE	29	223	test
PP_POS__1PVH_A_l__1PVH_A_r	1PVH_A_l	1PVH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1PVH	1PVH	159	208	train
PP_POS__1PXV_A_l__1PXV_A_r	1PXV_A_l	1PXV_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1PXV	1PXV	111	175	train
PP_POS__1QA9_A_l__1QA9_A_r	1QA9_A_l	1QA9_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1QA9	1QA9	171	179	test
PP_POS__1QFW_AB_l__1QFW_IM_r	1QFW_AB_l	1QFW_IM_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1QFW	1QFW	196	229	train
PP_POS__1R0R_I_l__1R0R_E_r	1R0R_E_r	1R0R_I_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1R0R	1R0R	274	51	val
PP_POS__1R6Q_A_l__1R6Q_X_r	1R6Q_A_l	1R6Q_X_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1R6Q	1R6Q	89	142	train
PP_POS__1R8S_E_l__1R8S_A_r	1R8S_A_r	1R8S_E_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1R8S	1R8S	180	195	train
PP_POS__1RKE_A_l__1RKE_A_r	1RKE_A_l	1RKE_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1RKE	1RKE	163	259	train
PP_POS__1RLB_A_l__1RLB_ABCD_r	1RLB_ABCD_r	1RLB_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1RLB	1RLB	456	175	train
PP_POS__1RV6_A_l__1RV6_AB_r	1RV6_AB_r	1RV6_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1RV6	1RV6	200	92	test
PP_POS__1S1Q_A_l__1S1Q_A_r	1S1Q_A_l	1S1Q_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1S1Q	1S1Q	70	143	train
PP_POS__1S78_A_l__1S78_HL_r	1S78_A_l	1S78_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1S78	1S78	506	436	train
PP_POS__1SBB_A_l__1SBB_A_r	1SBB_A_l	1SBB_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1SBB	1SBB	239	238	train
PP_POS__1SYX_A_l__1SYX_A_r	1SYX_A_l	1SYX_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1SYX	1SYX	62	131	train
PP_POS__1T6B_X_l__1T6B_A_r	1T6B_A_r	1T6B_X_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1T6B	1T6B	665	181	train
PP_POS__1TMQ_A_l__1TMQ_A_r	1TMQ_A_l	1TMQ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1TMQ	1TMQ	117	470	train
PP_POS__1UDI_B_l__1UDI_A_r	1UDI_A_r	1UDI_B_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1UDI	1UDI	228	83	val
PP_POS__1US7_A_l__1US7_A_r	1US7_A_l	1US7_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1US7	1US7	129	207	train
PP_POS__1VFB_A_l__1VFB_AB_r	1VFB_AB_r	1VFB_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1VFB	1VFB	224	129	train
PP_POS__1WDW_A_l__1WDW_AB_r	1WDW_AB_r	1WDW_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1WDW	1WDW	773	241	val
PP_POS__1WEJ_A_l__1WEJ_LH_r	1WEJ_A_l	1WEJ_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1WEJ	1WEJ	104	433	train
PP_POS__1WQ1_D_l__1WQ1_A_r	1WQ1_A_r	1WQ1_D_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1WQ1	1WQ1	324	171	val
PP_POS__1XD3_A_l__1XD3_A_r	1XD3_A_l	1XD3_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1XD3	1XD3	70	206	train
PP_POS__1XQS_A_l__1XQS_A_r	1XQS_A_l	1XQS_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1XQS	1XQS	193	259	train
PP_POS__1XU1_A_l__1XU1_ABD_r	1XU1_ABD_r	1XU1_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1XU1	1XU1	404	39	train
PP_POS__1Y64_A_l__1Y64_A_r	1Y64_A_l	1Y64_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1Y64	1Y64	360	411	train
PP_POS__1YVB_I_l__1YVB_A_r	1YVB_A_r	1YVB_I_l	1	pp_prepared	same_complex_structure_positive	structural_positive	1YVB	1YVB	241	108	train
PP_POS__1Z0K_A_l__1Z0K_A_r	1Z0K_A_l	1Z0K_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1Z0K	1Z0K	46	176	val
PP_POS__1Z5Y_A_l__1Z5Y_A_r	1Z5Y_A_l	1Z5Y_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1Z5Y	1Z5Y	121	149	test
PP_POS__1ZHH_A_l__1ZHH_A_r	1ZHH_A_l	1ZHH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZHH	1ZHH	210	338	val
PP_POS__1ZHI_A_l__1ZHI_A_r	1ZHI_A_l	1ZHI_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZHI	1ZHI	114	203	train
PP_POS__1ZLI_A_l__1ZLI_A_r	1ZLI_A_l	1ZLI_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZLI	1ZLI	75	402	train
PP_POS__1ZM4_A_l__1ZM4_C_r	1ZM4_A_l	1ZM4_C_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZM4	1ZM4	204	825	train
PP_POS__2A1A_A_l__2A1A_A_r	2A1A_A_l	2A1A_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2A1A	2A1A	174	255	train
PP_POS__2A5T_A_l__2A5T_A_r	2A5T_A_l	2A5T_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2A5T	2A5T	278	287	val
PP_POS__2A9K_X_l__2A9K_A_r	2A9K_A_r	2A9K_X_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2A9K	2A9K	168	201	train
PP_POS__2ABZ_A_l__2ABZ_A_r	2ABZ_A_l	2ABZ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2ABZ	2ABZ	62	303	train
PP_POS__2AJF_E_l__2AJF_A_r	2AJF_A_r	2AJF_E_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2AJF	2AJF	597	183	test
PP_POS__2AYO_A_l__2AYO_A_r	2AYO_A_l	2AYO_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2AYO	2AYO	72	337	test
PP_POS__2B42_A_l__2B42_X_r	2B42_A_l	2B42_X_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2B42	2B42	185	362	train
PP_POS__2B4J_A_l__2B4J_AB_r	2B4J_AB_r	2B4J_A_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2B4J	2B4J	290	83	val
PP_POS__2BTF_A_l__2BTF_B_r	2BTF_A_l	2BTF_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2BTF	2BTF	139	371	train
PP_POS__2C0L_A_l__2C0L_A_r	2C0L_A_l	2C0L_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2C0L	2C0L	123	302	train
PP_POS__2CFH_A_l__2CFH_A_r	2CFH_A_l	2CFH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2CFH	2CFH	143	159	test
PP_POS__2DD8_E_l__2DD8_AB_r	2DD8_AB_r	2DD8_E_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2DD8	2DD8	429	183	test
PP_POS__2FD6_A_l__2FD6_LH_r	2FD6_A_l	2FD6_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2FD6	2FD6	268	426	val
PP_POS__2FJG_AB_l__2FJG_HL_r	2FJG_AB_l	2FJG_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2FJG	2FJG	190	429	val
PP_POS__2FJU_A_l__2FJU_X_r	2FJU_A_l	2FJU_X_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2FJU	2FJU	183	708	train
PP_POS__2G77_A_l__2G77_A_r	2G77_A_l	2G77_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2G77	2G77	165	314	train
PP_POS__2GAF_A_l__2GAF_A_r	2GAF_A_l	2GAF_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2GAF	2GAF	291	457	val
PP_POS__2GTP_A_l__2GTP_A_r	2GTP_A_l	2GTP_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2GTP	2GTP	134	313	train
PP_POS__2H7V_A_l__2H7V_A_r	2H7V_A_l	2H7V_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2H7V	2H7V	183	270	test
PP_POS__2HLE_P_l__2HLE_A_r	2HLE_A_r	2HLE_P_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2HLE	2HLE	185	141	val
PP_POS__2HMI_CD_l__2HMI_AB_r	2HMI_AB_r	2HMI_CD_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2HMI	2HMI	979	434	train
PP_POS__2HQS_A_l__2HQS_A_r	2HQS_A_l	2HQS_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2HQS	2HQS	108	397	train
PP_POS__2HRK_A_l__2HRK_A_r	2HRK_A_l	2HRK_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2HRK	2HRK	103	180	train
PP_POS__2I25_A_l__2I25_N_r	2I25_A_l	2I25_N_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2I25	2I25	129	113	val
PP_POS__2I9B_A_l__2I9B_A_r	2I9B_A_l	2I9B_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2I9B	2I9B	123	268	train
PP_POS__2IDO_A_l__2IDO_A_r	2IDO_A_l	2IDO_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2IDO	2IDO	66	174	train
PP_POS__2J0T_A_l__2J0T_A_r	2J0T_A_l	2J0T_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2J0T	2J0T	126	157	train
PP_POS__2J7P_D_l__2J7P_A_r	2J7P_A_r	2J7P_D_l	1	pp_prepared	same_complex_structure_positive	structural_positive	2J7P	2J7P	294	259	train
PP_POS__2JEL_A_l__2JEL_LH_r	2JEL_A_l	2JEL_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2JEL	2JEL	85	435	train
PP_POS__2MTA_A_l__2MTA_MJ_r	2MTA_A_l	2MTA_MJ_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2MTA	2MTA	105	480	train
