protein_id	sequence_found	pssm_found	dssp_found	structure_found	sequence_path	pssm_path	dssp_path	structure_path
1BKD_A_l	1	1	1	1	seq/1BKD_A_l.fasta	pssm/1BKD_A_l.npy	dssp/1BKD_A_l.npy	coords/1BKD_A_l.npz
1BKD_A_r	1	1	1	1	seq/1BKD_A_r.fasta	pssm/1BKD_A_r.npy	dssp/1BKD_A_r.npy	coords/1BKD_A_r.npz
1BUH_A_l	1	1	1	1	seq/1BUH_A_l.fasta	pssm/1BUH_A_l.npy	dssp/1BUH_A_l.npy	coords/1BUH_A_l.npz
1BUH_A_r	1	1	1	1	seq/1BUH_A_r.fasta	pssm/1BUH_A_r.npy	dssp/1BUH_A_r.npy	coords/1BUH_A_r.npz
1BVK_A_l	1	1	1	1	seq/1BVK_A_l.fasta	pssm/1BVK_A_l.npy	dssp/1BVK_A_l.npy	coords/1BVK_A_l.npz
1BVK_BA_r	1	1	1	1	seq/1BVK_BA_r.fasta	pssm/1BVK_BA_r.npy	dssp/1BVK_BA_r.npy	coords/1BVK_BA_r.npz
1BVN_A_l	1	1	1	1	seq/1BVN_A_l.fasta	pssm/1BVN_A_l.npy	dssp/1BVN_A_l.npy	coords/1BVN_A_l.npz
1BVN_A_r	1	1	1	1	seq/1BVN_A_r.fasta	pssm/1BVN_A_r.npy	dssp/1BVN_A_r.npy	coords/1BVN_A_r.npz
1CGI_A_l	1	1	1	1	seq/1CGI_A_l.fasta	pssm/1CGI_A_l.npy	dssp/1CGI_A_l.npy	coords/1CGI_A_l.npz
1CGI_B_r	1	1	1	1	seq/1CGI_B_r.fasta	pssm/1CGI_B_r.npy	dssp/1CGI_B_r.npy	coords/1CGI_B_r.npz
1CLV_A_l	1	1	1	1	seq/1CLV_A_l.fasta	pssm/1CLV_A_l.npy	dssp/1CLV_A_l.npy	coords/1CLV_A_l.npz
1CLV_A_r	1	1	1	1	seq/1CLV_A_r.fasta	pssm/1CLV_A_r.npy	dssp/1CLV_A_r.npy	coords/1CLV_A_r.npz
1D6R_A_l	1	1	1	1	seq/1D6R_A_l.fasta	pssm/1D6R_A_l.npy	dssp/1D6R_A_l.npy	coords/1D6R_A_l.npz
1D6R_A_r	1	1	1	1	seq/1D6R_A_r.fasta	pssm/1D6R_A_r.npy	dssp/1D6R_A_r.npy	coords/1D6R_A_r.npz
1DE4_AB_l	1	1	1	1	seq/1DE4_AB_l.fasta	pssm/1DE4_AB_l.npy	dssp/1DE4_AB_l.npy	coords/1DE4_AB_l.npz
1DE4_AB_r	1	1	1	1	seq/1DE4_AB_r.fasta	pssm/1DE4_AB_r.npy	dssp/1DE4_AB_r.npy	coords/1DE4_AB_r.npz
1DFJ_A_l	1	1	1	1	seq/1DFJ_A_l.fasta	pssm/1DFJ_A_l.npy	dssp/1DFJ_A_l.npy	coords/1DFJ_A_l.npz
1DFJ_B_r	1	1	1	1	seq/1DFJ_B_r.fasta	pssm/1DFJ_B_r.npy	dssp/1DFJ_B_r.npy	coords/1DFJ_B_r.npz
1DQJ_A_l	1	1	1	1	seq/1DQJ_A_l.fasta	pssm/1DQJ_A_l.npy	dssp/1DQJ_A_l.npy	coords/1DQJ_A_l.npz
1DQJ_CD_r	1	1	1	1	seq/1DQJ_CD_r.fasta	pssm/1DQJ_CD_r.npy	dssp/1DQJ_CD_r.npy	coords/1DQJ_CD_r.npz
1E4K_AB_r	1	1	1	1	seq/1E4K_AB_r.fasta	pssm/1E4K_AB_r.npy	dssp/1E4K_AB_r.npy	coords/1E4K_AB_r.npz
1E4K_A_l	1	1	1	1	seq/1E4K_A_l.fasta	pssm/1E4K_A_l.npy	dssp/1E4K_A_l.npy	coords/1E4K_A_l.npz
1E6E_A_r	1	1	1	1	seq/1E6E_A_r.fasta	pssm/1E6E_A_r.npy	dssp/1E6E_A_r.npy	coords/1E6E_A_r.npz
1E6E_D_l	1	1	1	1	seq/1E6E_D_l.fasta	pssm/1E6E_D_l.npy	dssp/1E6E_D_l.npy	coords/1E6E_D_l.npz
1E6J_A_l	1	1	1	1	seq/1E6J_A_l.fasta	pssm/1E6J_A_l.npy	dssp/1E6J_A_l.npy	coords/1E6J_A_l.npz
1E6J_LH_r	1	1	1	1	seq/1E6J_LH_r.fasta	pssm/1E6J_LH_r.npy	dssp/1E6J_LH_r.npy	coords/1E6J_LH_r.npz
1E96_A_l	1	1	1	1	seq/1E96_A_l.fasta	pssm/1E96_A_l.npy	dssp/1E96_A_l.npy	coords/1E96_A_l.npz
1E96_A_r	1	1	1	1	seq/1E96_A_r.fasta	pssm/1E96_A_r.npy	dssp/1E96_A_r.npy	coords/1E96_A_r.npz
1EAW_A_l	1	1	1	1	seq/1EAW_A_l.fasta	pssm/1EAW_A_l.npy	dssp/1EAW_A_l.npy	coords/1EAW_A_l.npz
1EAW_A_r	1	1	1	1	seq/1EAW_A_r.fasta	pssm/1EAW_A_r.npy	dssp/1EAW_A_r.npy	coords/1EAW_A_r.npz
1EER_AB_l	1	1	1	1	seq/1EER_AB_l.fasta	pssm/1EER_AB_l.npy	dssp/1EER_AB_l.npy	coords/1EER_AB_l.npz
1EER_A_r	1	1	1	1	seq/1EER_A_r.fasta	pssm/1EER_A_r.npy	dssp/1EER_A_r.npy	coords/1EER_A_r.npz
1EFN_A_l	1	1	1	1	seq/1EFN_A_l.fasta	pssm/1EFN_A_l.npy	dssp/1EFN_A_l.npy	coords/1EFN_A_l.npz
1EFN_A_r	1	1	1	1	seq/1EFN_A_r.fasta	pssm/1EFN_A_r.npy	dssp/1EFN_A_r.npy	coords/1EFN_A_r.npz
1EWY_A_l	1	1	1	1	seq/1EWY_A_l.fasta	pssm/1EWY_A_l.npy	dssp/1EWY_A_l.npy	coords/1EWY_A_l.npz
1EWY_A_r	1	1	1	1	seq/1EWY_A_r.fasta	pssm/1EWY_A_r.npy	dssp/1EWY_A_r.npy	coords/1EWY_A_r.npz
1EXB_ABCD_l	1	1	1	1	seq/1EXB_ABCD_l.fasta	pssm/1EXB_ABCD_l.npy	dssp/1EXB_ABCD_l.npy	coords/1EXB_ABCD_l.npz
1EXB_ABCD_r	1	1	1	1	seq/1EXB_ABCD_r.fasta	pssm/1EXB_ABCD_r.npy	dssp/1EXB_ABCD_r.npy	coords/1EXB_ABCD_r.npz
1EZU_AB_l	1	1	1	1	seq/1EZU_AB_l.fasta	pssm/1EZU_AB_l.npy	dssp/1EZU_AB_l.npy	coords/1EZU_AB_l.npz
1EZU_A_r	1	1	1	1	seq/1EZU_A_r.fasta	pssm/1EZU_A_r.npy	dssp/1EZU_A_r.npy	coords/1EZU_A_r.npz
1F34_A_l	1	1	1	1	seq/1F34_A_l.fasta	pssm/1F34_A_l.npy	dssp/1F34_A_l.npy	coords/1F34_A_l.npz
1F34_A_r	1	1	1	1	seq/1F34_A_r.fasta	pssm/1F34_A_r.npy	dssp/1F34_A_r.npy	coords/1F34_A_r.npz
1F51_AB_r	1	1	1	1	seq/1F51_AB_r.fasta	pssm/1F51_AB_r.npy	dssp/1F51_AB_r.npy	coords/1F51_AB_r.npz
1F51_C_l	1	1	1	1	seq/1F51_C_l.fasta	pssm/1F51_C_l.npy	dssp/1F51_C_l.npy	coords/1F51_C_l.npz
1F6M_A_l	1	1	1	1	seq/1F6M_A_l.fasta	pssm/1F6M_A_l.npy	dssp/1F6M_A_l.npy	coords/1F6M_A_l.npz
1F6M_A_r	1	1	1	1	seq/1F6M_A_r.fasta	pssm/1F6M_A_r.npy	dssp/1F6M_A_r.npy	coords/1F6M_A_r.npz
1FAK_B_l	1	1	1	1	seq/1FAK_B_l.fasta	pssm/1FAK_B_l.npy	dssp/1FAK_B_l.npy	coords/1FAK_B_l.npz
1FAK_LH_r	1	1	1	1	seq/1FAK_LH_r.fasta	pssm/1FAK_LH_r.npy	dssp/1FAK_LH_r.npy	coords/1FAK_LH_r.npz
1FC2_A_l	1	1	1	1	seq/1FC2_A_l.fasta	pssm/1FC2_A_l.npy	dssp/1FC2_A_l.npy	coords/1FC2_A_l.npz
1FC2_A_r	1	1	1	1	seq/1FC2_A_r.fasta	pssm/1FC2_A_r.npy	dssp/1FC2_A_r.npy	coords/1FC2_A_r.npz
1FCC_AB_r	1	1	1	1	seq/1FCC_AB_r.fasta	pssm/1FCC_AB_r.npy	dssp/1FCC_AB_r.npy	coords/1FCC_AB_r.npz
1FCC_A_l	1	1	1	1	seq/1FCC_A_l.fasta	pssm/1FCC_A_l.npy	dssp/1FCC_A_l.npy	coords/1FCC_A_l.npz
1FFW_A_l	1	1	1	1	seq/1FFW_A_l.fasta	pssm/1FFW_A_l.npy	dssp/1FFW_A_l.npy	coords/1FFW_A_l.npz
1FFW_A_r	1	1	1	1	seq/1FFW_A_r.fasta	pssm/1FFW_A_r.npy	dssp/1FFW_A_r.npy	coords/1FFW_A_r.npz
1FLE_A_l	1	1	1	1	seq/1FLE_A_l.fasta	pssm/1FLE_A_l.npy	dssp/1FLE_A_l.npy	coords/1FLE_A_l.npz
1FLE_A_r	1	1	1	1	seq/1FLE_A_r.fasta	pssm/1FLE_A_r.npy	dssp/1FLE_A_r.npy	coords/1FLE_A_r.npz
1FQ1_A_l	1	1	1	1	seq/1FQ1_A_l.fasta	pssm/1FQ1_A_l.npy	dssp/1FQ1_A_l.npy	coords/1FQ1_A_l.npz
1FQ1_F_r	1	1	1	1	seq/1FQ1_F_r.fasta	pssm/1FQ1_F_r.npy	dssp/1FQ1_F_r.npy	coords/1FQ1_F_r.npz
1FQJ_A_l	1	1	1	1	seq/1FQJ_A_l.fasta	pssm/1FQJ_A_l.npy	dssp/1FQJ_A_l.npy	coords/1FQJ_A_l.npz
1FQJ_C_r	1	1	1	1	seq/1FQJ_C_r.fasta	pssm/1FQJ_C_r.npy	dssp/1FQJ_C_r.npy	coords/1FQJ_C_r.npz
1FSK_A_l	1	1	1	1	seq/1FSK_A_l.fasta	pssm/1FSK_A_l.npy	dssp/1FSK_A_l.npy	coords/1FSK_A_l.npz
1FSK_BC_r	1	1	1	1	seq/1FSK_BC_r.fasta	pssm/1FSK_BC_r.npy	dssp/1FSK_BC_r.npy	coords/1FSK_BC_r.npz
1GCQ_B_l	1	1	1	1	seq/1GCQ_B_l.fasta	pssm/1GCQ_B_l.npy	dssp/1GCQ_B_l.npy	coords/1GCQ_B_l.npz
1GCQ_B_r	1	1	1	1	seq/1GCQ_B_r.fasta	pssm/1GCQ_B_r.npy	dssp/1GCQ_B_r.npy	coords/1GCQ_B_r.npz
1GHQ_A_l	1	1	1	1	seq/1GHQ_A_l.fasta	pssm/1GHQ_A_l.npy	dssp/1GHQ_A_l.npy	coords/1GHQ_A_l.npz
1GHQ_A_r	1	1	1	1	seq/1GHQ_A_r.fasta	pssm/1GHQ_A_r.npy	dssp/1GHQ_A_r.npy	coords/1GHQ_A_r.npz
1GL1_1_r	1	1	1	1	seq/1GL1_1_r.fasta	pssm/1GL1_1_r.npy	dssp/1GL1_1_r.npy	coords/1GL1_1_r.npz
1GL1_A_l	1	1	1	1	seq/1GL1_A_l.fasta	pssm/1GL1_A_l.npy	dssp/1GL1_A_l.npy	coords/1GL1_A_l.npz
1GLA_A_l	1	1	1	1	seq/1GLA_A_l.fasta	pssm/1GLA_A_l.npy	dssp/1GLA_A_l.npy	coords/1GLA_A_l.npz
1GLA_O_r	1	1	1	1	seq/1GLA_O_r.fasta	pssm/1GLA_O_r.npy	dssp/1GLA_O_r.npy	coords/1GLA_O_r.npz
1GP2_A_r	1	1	1	1	seq/1GP2_A_r.fasta	pssm/1GP2_A_r.npy	dssp/1GP2_A_r.npy	coords/1GP2_A_r.npz
1GP2_DH_l	1	1	1	1	seq/1GP2_DH_l.fasta	pssm/1GP2_DH_l.npy	dssp/1GP2_DH_l.npy	coords/1GP2_DH_l.npz
1GPW_D_r	1	1	1	1	seq/1GPW_D_r.fasta	pssm/1GPW_D_r.npy	dssp/1GPW_D_r.npy	coords/1GPW_D_r.npz
1GPW_F_l	1	1	1	1	seq/1GPW_F_l.fasta	pssm/1GPW_F_l.npy	dssp/1GPW_F_l.npy	coords/1GPW_F_l.npz
1GRN_A_l	1	1	1	1	seq/1GRN_A_l.fasta	pssm/1GRN_A_l.npy	dssp/1GRN_A_l.npy	coords/1GRN_A_l.npz
1GRN_A_r	1	1	1	1	seq/1GRN_A_r.fasta	pssm/1GRN_A_r.npy	dssp/1GRN_A_r.npy	coords/1GRN_A_r.npz
1GXD_A_l	1	1	1	1	seq/1GXD_A_l.fasta	pssm/1GXD_A_l.npy	dssp/1GXD_A_l.npy	coords/1GXD_A_l.npz
1GXD_A_r	1	1	1	1	seq/1GXD_A_r.fasta	pssm/1GXD_A_r.npy	dssp/1GXD_A_r.npy	coords/1GXD_A_r.npz
1H1V_B_l	1	1	1	1	seq/1H1V_B_l.fasta	pssm/1H1V_B_l.npy	dssp/1H1V_B_l.npy	coords/1H1V_B_l.npz
1H1V_B_r	1	1	1	1	seq/1H1V_B_r.fasta	pssm/1H1V_B_r.npy	dssp/1H1V_B_r.npy	coords/1H1V_B_r.npz
1H9D_A_l	1	1	1	1	seq/1H9D_A_l.fasta	pssm/1H9D_A_l.npy	dssp/1H9D_A_l.npy	coords/1H9D_A_l.npz
1H9D_A_r	1	1	1	1	seq/1H9D_A_r.fasta	pssm/1H9D_A_r.npy	dssp/1H9D_A_r.npy	coords/1H9D_A_r.npz
1HCF_AM_r	1	1	1	1	seq/1HCF_AM_r.fasta	pssm/1HCF_AM_r.npy	dssp/1HCF_AM_r.npy	coords/1HCF_AM_r.npz
1HCF_X_l	1	1	1	1	seq/1HCF_X_l.fasta	pssm/1HCF_X_l.npy	dssp/1HCF_X_l.npy	coords/1HCF_X_l.npz
1HE1_A_l	1	1	1	1	seq/1HE1_A_l.fasta	pssm/1HE1_A_l.npy	dssp/1HE1_A_l.npy	coords/1HE1_A_l.npz
1HE1_A_r	1	1	1	1	seq/1HE1_A_r.fasta	pssm/1HE1_A_r.npy	dssp/1HE1_A_r.npy	coords/1HE1_A_r.npz
1HE8_A_l	1	1	1	1	seq/1HE8_A_l.fasta	pssm/1HE8_A_l.npy	dssp/1HE8_A_l.npy	coords/1HE8_A_l.npz
1HE8_A_r	1	1	1	1	seq/1HE8_A_r.fasta	pssm/1HE8_A_r.npy	dssp/1HE8_A_r.npy	coords/1HE8_A_r.npz
1HIA_A_l	1	1	1	1	seq/1HIA_A_l.fasta	pssm/1HIA_A_l.npy	dssp/1HIA_A_l.npy	coords/1HIA_A_l.npz
1HIA_XY_r	1	1	1	1	seq/1HIA_XY_r.fasta	pssm/1HIA_XY_r.npy	dssp/1HIA_XY_r.npy	coords/1HIA_XY_r.npz
1I2M_A_l	1	1	1	1	seq/1I2M_A_l.fasta	pssm/1I2M_A_l.npy	dssp/1I2M_A_l.npy	coords/1I2M_A_l.npz
1I2M_A_r	1	1	1	1	seq/1I2M_A_r.fasta	pssm/1I2M_A_r.npy	dssp/1I2M_A_r.npy	coords/1I2M_A_r.npz
1I4D_AB_r	1	1	1	1	seq/1I4D_AB_r.fasta	pssm/1I4D_AB_r.npy	dssp/1I4D_AB_r.npy	coords/1I4D_AB_r.npz
1I4D_A_l	1	1	1	1	seq/1I4D_A_l.fasta	pssm/1I4D_A_l.npy	dssp/1I4D_A_l.npy	coords/1I4D_A_l.npz
1I9R_ABC_r	1	1	1	1	seq/1I9R_ABC_r.fasta	pssm/1I9R_ABC_r.npy	dssp/1I9R_ABC_r.npy	coords/1I9R_ABC_r.npz
1I9R_LH_l	1	1	1	1	seq/1I9R_LH_l.fasta	pssm/1I9R_LH_l.npy	dssp/1I9R_LH_l.npy	coords/1I9R_LH_l.npz
1IB1_AB_r	1	1	1	1	seq/1IB1_AB_r.fasta	pssm/1IB1_AB_r.npy	dssp/1IB1_AB_r.npy	coords/1IB1_AB_r.npz
1IB1_A_l	1	1	1	1	seq/1IB1_A_l.fasta	pssm/1IB1_A_l.npy	dssp/1IB1_A_l.npy	coords/1IB1_A_l.npz
1IBR_A_l	1	1	1	1	seq/1IBR_A_l.fasta	pssm/1IBR_A_l.npy	dssp/1IBR_A_l.npy	coords/1IBR_A_l.npz
1IBR_A_r	1	1	1	1	seq/1IBR_A_r.fasta	pssm/1IBR_A_r.npy	dssp/1IBR_A_r.npy	coords/1IBR_A_r.npz
1IJK_AB_r	1	1	1	1	seq/1IJK_AB_r.fasta	pssm/1IJK_AB_r.npy	dssp/1IJK_AB_r.npy	coords/1IJK_AB_r.npz
1IJK_A_l	1	1	1	1	seq/1IJK_A_l.fasta	pssm/1IJK_A_l.npy	dssp/1IJK_A_l.npy	coords/1IJK_A_l.npz
1IQD_AB_r	1	1	1	1	seq/1IQD_AB_r.fasta	pssm/1IQD_AB_r.npy	dssp/1IQD_AB_r.npy	coords/1IQD_AB_r.npz
1IQD_M_l	1	1	1	1	seq/1IQD_M_l.fasta	pssm/1IQD_M_l.npy	dssp/1IQD_M_l.npy	coords/1IQD_M_l.npz
1IRA_1_l	1	1	1	1	seq/1IRA_1_l.fasta	pssm/1IRA_1_l.npy	dssp/1IRA_1_l.npy	coords/1IRA_1_l.npz
1IRA_R_r	1	1	1	1	seq/1IRA_R_r.fasta	pssm/1IRA_R_r.npy	dssp/1IRA_R_r.npy	coords/1IRA_R_r.npz
1J2J_A_l	1	1	1	1	seq/1J2J_A_l.fasta	pssm/1J2J_A_l.npy	dssp/1J2J_A_l.npy	coords/1J2J_A_l.npz
1J2J_A_r	1	1	1	1	seq/1J2J_A_r.fasta	pssm/1J2J_A_r.npy	dssp/1J2J_A_r.npy	coords/1J2J_A_r.npz
1JIW_A_l	1	1	1	1	seq/1JIW_A_l.fasta	pssm/1JIW_A_l.npy	dssp/1JIW_A_l.npy	coords/1JIW_A_l.npz
1JIW_A_r	1	1	1	1	seq/1JIW_A_r.fasta	pssm/1JIW_A_r.npy	dssp/1JIW_A_r.npy	coords/1JIW_A_r.npz
1JK9_A_l	1	1	1	1	seq/1JK9_A_l.fasta	pssm/1JK9_A_l.npy	dssp/1JK9_A_l.npy	coords/1JK9_A_l.npz
1JK9_A_r	1	1	1	1	seq/1JK9_A_r.fasta	pssm/1JK9_A_r.npy	dssp/1JK9_A_r.npy	coords/1JK9_A_r.npz
1JMO_A_r	1	1	1	1	seq/1JMO_A_r.fasta	pssm/1JMO_A_r.npy	dssp/1JMO_A_r.npy	coords/1JMO_A_r.npz
1JMO_HL_l	1	1	1	1	seq/1JMO_HL_l.fasta	pssm/1JMO_HL_l.npy	dssp/1JMO_HL_l.npy	coords/1JMO_HL_l.npz
1JPS_B_l	1	1	1	1	seq/1JPS_B_l.fasta	pssm/1JPS_B_l.npy	dssp/1JPS_B_l.npy	coords/1JPS_B_l.npz
1JPS_LH_r	1	1	1	1	seq/1JPS_LH_r.fasta	pssm/1JPS_LH_r.npy	dssp/1JPS_LH_r.npy	coords/1JPS_LH_r.npz
1JTD_A_l	1	1	1	1	seq/1JTD_A_l.fasta	pssm/1JTD_A_l.npy	dssp/1JTD_A_l.npy	coords/1JTD_A_l.npz
1JTD_A_r	1	1	1	1	seq/1JTD_A_r.fasta	pssm/1JTD_A_r.npy	dssp/1JTD_A_r.npy	coords/1JTD_A_r.npz
1JTG_A_r	1	1	1	1	seq/1JTG_A_r.fasta	pssm/1JTG_A_r.npy	dssp/1JTG_A_r.npy	coords/1JTG_A_r.npz
1JTG_B_l	1	1	1	1	seq/1JTG_B_l.fasta	pssm/1JTG_B_l.npy	dssp/1JTG_B_l.npy	coords/1JTG_B_l.npz
1JWH_AB_r	1	1	1	1	seq/1JWH_AB_r.fasta	pssm/1JWH_AB_r.npy	dssp/1JWH_AB_r.npy	coords/1JWH_AB_r.npz
1JWH_A_l	1	1	1	1	seq/1JWH_A_l.fasta	pssm/1JWH_A_l.npy	dssp/1JWH_A_l.npy	coords/1JWH_A_l.npz
1JZD_AB_r	1	1	1	1	seq/1JZD_AB_r.fasta	pssm/1JZD_AB_r.npy	dssp/1JZD_AB_r.npy	coords/1JZD_AB_r.npz
1JZD_A_l	1	1	1	1	seq/1JZD_A_l.fasta	pssm/1JZD_A_l.npy	dssp/1JZD_A_l.npy	coords/1JZD_A_l.npz
1K4C_AB_r	1	1	1	1	seq/1K4C_AB_r.fasta	pssm/1K4C_AB_r.npy	dssp/1K4C_AB_r.npy	coords/1K4C_AB_r.npz
1K4C_A_l	1	1	1	1	seq/1K4C_A_l.fasta	pssm/1K4C_A_l.npy	dssp/1K4C_A_l.npy	coords/1K4C_A_l.npz
1K5D_AB_r	1	1	1	1	seq/1K5D_AB_r.fasta	pssm/1K5D_AB_r.npy	dssp/1K5D_AB_r.npy	coords/1K5D_AB_r.npz
1K5D_B_l	1	1	1	1	seq/1K5D_B_l.fasta	pssm/1K5D_B_l.npy	dssp/1K5D_B_l.npy	coords/1K5D_B_l.npz
1K74_AB_r	1	1	1	1	seq/1K74_AB_r.fasta	pssm/1K74_AB_r.npy	dssp/1K74_AB_r.npy	coords/1K74_AB_r.npz
1K74_A_l	1	1	1	1	seq/1K74_A_l.fasta	pssm/1K74_A_l.npy	dssp/1K74_A_l.npy	coords/1K74_A_l.npz
1KAC_B_l	1	1	1	1	seq/1KAC_B_l.fasta	pssm/1KAC_B_l.npy	dssp/1KAC_B_l.npy	coords/1KAC_B_l.npz
1KAC_F_r	1	1	1	1	seq/1KAC_F_r.fasta	pssm/1KAC_F_r.npy	dssp/1KAC_F_r.npy	coords/1KAC_F_r.npz
1KKL_ABC_r	1	1	1	1	seq/1KKL_ABC_r.fasta	pssm/1KKL_ABC_r.npy	dssp/1KKL_ABC_r.npy	coords/1KKL_ABC_r.npz
1KKL_A_l	1	1	1	1	seq/1KKL_A_l.fasta	pssm/1KKL_A_l.npy	dssp/1KKL_A_l.npy	coords/1KKL_A_l.npz
1KLU_AB_r	1	1	1	1	seq/1KLU_AB_r.fasta	pssm/1KLU_AB_r.npy	dssp/1KLU_AB_r.npy	coords/1KLU_AB_r.npz
1KLU_A_l	1	1	1	1	seq/1KLU_A_l.fasta	pssm/1KLU_A_l.npy	dssp/1KLU_A_l.npy	coords/1KLU_A_l.npz
1KTZ_A_l	1	1	1	1	seq/1KTZ_A_l.fasta	pssm/1KTZ_A_l.npy	dssp/1KTZ_A_l.npy	coords/1KTZ_A_l.npz
1KTZ_A_r	1	1	1	1	seq/1KTZ_A_r.fasta	pssm/1KTZ_A_r.npy	dssp/1KTZ_A_r.npy	coords/1KTZ_A_r.npz
1KXP_B_l	1	1	1	1	seq/1KXP_B_l.fasta	pssm/1KXP_B_l.npy	dssp/1KXP_B_l.npy	coords/1KXP_B_l.npz
1KXP_B_r	1	1	1	1	seq/1KXP_B_r.fasta	pssm/1KXP_B_r.npy	dssp/1KXP_B_r.npy	coords/1KXP_B_r.npz
1KXQ_A_r	1	1	1	1	seq/1KXQ_A_r.fasta	pssm/1KXQ_A_r.npy	dssp/1KXQ_A_r.npy	coords/1KXQ_A_r.npz
1KXQ_H_l	1	1	1	1	seq/1KXQ_H_l.fasta	pssm/1KXQ_H_l.npy	dssp/1KXQ_H_l.npy	coords/1KXQ_H_l.npz
1LFD_A_l	1	1	1	1	seq/1LFD_A_l.fasta	pssm/1LFD_A_l.npy	dssp/1LFD_A_l.npy	coords/1LFD_A_l.npz
1LFD_A_r	1	1	1	1	seq/1LFD_A_r.fasta	pssm/1LFD_A_r.npy	dssp/1LFD_A_r.npy	coords/1LFD_A_r.npz
1M10_A_r	1	1	1	1	seq/1M10_A_r.fasta	pssm/1M10_A_r.npy	dssp/1M10_A_r.npy	coords/1M10_A_r.npz
1M10_B_l	1	1	1	1	seq/1M10_B_l.fasta	pssm/1M10_B_l.npy	dssp/1M10_B_l.npy	coords/1M10_B_l.npz
