pair_id	protein_A	protein_B	label	data_source	evidence_type	label_scope	complex_id_A	complex_id_B	length_A	length_B
PP_POS__1BKD_A_l__1BKD_A_r	1BKD_A_l	1BKD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BKD	1BKD	166	463
PP_POS__1BUH_A_l__1BUH_A_r	1BUH_A_l	1BUH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BUH	1BUH	76	294
PP_POS__1BVK_A_l__1BVK_BA_r	1BVK_A_l	1BVK_BA_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BVK	1BVK	129	224
PP_POS__1BVN_A_l__1BVN_A_r	1BVN_A_l	1BVN_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1BVN	1BVN	74	495
PP_POS__1CGI_A_l__1CGI_B_r	1CGI_A_l	1CGI_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1CGI	1CGI	56	245
PP_POS__1CLV_A_l__1CLV_A_r	1CLV_A_l	1CLV_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1CLV	1CLV	32	470
PP_POS__1D6R_A_l__1D6R_A_r	1D6R_A_l	1D6R_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1D6R	1D6R	58	223
PP_POS__1DE4_AB_l__1DE4_AB_r	1DE4_AB_l	1DE4_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1DE4	1DE4	1278	371
PP_POS__1DFJ_A_l__1DFJ_B_r	1DFJ_A_l	1DFJ_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1DFJ	1DFJ	456	124
PP_POS__1DQJ_A_l__1DQJ_CD_r	1DQJ_A_l	1DQJ_CD_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1DQJ	1DQJ	129	424
PP_POS__1E4K_A_l__1E4K_AB_r	1E4K_A_l	1E4K_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1E4K	1E4K	173	419
PP_POS__1E6E_D_l__1E6E_A_r	1E6E_D_l	1E6E_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1E6E	1E6E	107	455
PP_POS__1E6J_A_l__1E6J_LH_r	1E6J_A_l	1E6J_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1E6J	1E6J	72	429
PP_POS__1E96_A_l__1E96_A_r	1E96_A_l	1E96_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1E96	1E96	192	183
PP_POS__1EAW_A_l__1EAW_A_r	1EAW_A_l	1EAW_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EAW	1EAW	58	241
PP_POS__1EER_AB_l__1EER_A_r	1EER_AB_l	1EER_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EER	1EER	414	166
PP_POS__1EFN_A_l__1EFN_A_r	1EFN_A_l	1EFN_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EFN	1EFN	57	99
PP_POS__1EWY_A_l__1EWY_A_r	1EWY_A_l	1EWY_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EWY	1EWY	98	295
PP_POS__1EXB_ABCD_l__1EXB_ABCD_r	1EXB_ABCD_l	1EXB_ABCD_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EXB	1EXB	396	1300
PP_POS__1EZU_AB_l__1EZU_A_r	1EZU_AB_l	1EZU_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1EZU	1EZU	284	223
PP_POS__1F34_A_l__1F34_A_r	1F34_A_l	1F34_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1F34	1F34	127	326
PP_POS__1F51_C_l__1F51_AB_r	1F51_C_l	1F51_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1F51	1F51	121	343
PP_POS__1F6M_A_l__1F6M_A_r	1F6M_A_l	1F6M_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1F6M	1F6M	108	317
PP_POS__1FAK_B_l__1FAK_LH_r	1FAK_B_l	1FAK_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FAK	1FAK	182	348
PP_POS__1FC2_A_l__1FC2_A_r	1FC2_A_l	1FC2_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FC2	1FC2	207	60
PP_POS__1FCC_A_l__1FCC_AB_r	1FCC_A_l	1FCC_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FCC	1FCC	56	414
PP_POS__1FFW_A_l__1FFW_A_r	1FFW_A_l	1FFW_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FFW	1FFW	69	128
PP_POS__1FLE_A_l__1FLE_A_r	1FLE_A_l	1FLE_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FLE	1FLE	47	240
PP_POS__1FQ1_A_l__1FQ1_F_r	1FQ1_A_l	1FQ1_F_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FQ1	1FQ1	290	178
PP_POS__1FQJ_A_l__1FQJ_C_r	1FQJ_A_l	1FQJ_C_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FQJ	1FQJ	133	316
PP_POS__1FSK_A_l__1FSK_BC_r	1FSK_A_l	1FSK_BC_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1FSK	1FSK	159	434
PP_POS__1GCQ_B_l__1GCQ_B_r	1GCQ_B_l	1GCQ_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GCQ	1GCQ	67	211
PP_POS__1GHQ_A_l__1GHQ_A_r	1GHQ_A_l	1GHQ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GHQ	1GHQ	130	294
PP_POS__1GL1_A_l__1GL1_1_r	1GL1_A_l	1GL1_1_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GL1	1GL1	34	236
PP_POS__1GLA_A_l__1GLA_O_r	1GLA_A_l	1GLA_O_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GLA	1GLA	150	497
PP_POS__1GP2_DH_l__1GP2_A_r	1GP2_DH_l	1GP2_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GP2	1GP2	405	310
PP_POS__1GPW_F_l__1GPW_D_r	1GPW_F_l	1GPW_D_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GPW	1GPW	200	253
PP_POS__1GRN_A_l__1GRN_A_r	1GRN_A_l	1GRN_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GRN	1GRN	189	190
PP_POS__1GXD_A_l__1GXD_A_r	1GXD_A_l	1GXD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1GXD	1GXD	182	619
PP_POS__1H1V_B_l__1H1V_B_r	1H1V_B_l	1H1V_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1H1V	1H1V	729	371
PP_POS__1H9D_A_l__1H9D_A_r	1H9D_A_l	1H9D_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1H9D	1H9D	141	114
PP_POS__1HCF_X_l__1HCF_AM_r	1HCF_X_l	1HCF_AM_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1HCF	1HCF	86	216
PP_POS__1HE1_A_l__1HE1_A_r	1HE1_A_l	1HE1_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1HE1	1HE1	183	131
PP_POS__1HE8_A_l__1HE8_A_r	1HE8_A_l	1HE8_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1HE8	1HE8	166	839
PP_POS__1HIA_A_l__1HIA_XY_r	1HIA_A_l	1HIA_XY_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1HIA	1HIA	49	232
PP_POS__1I2M_A_l__1I2M_A_r	1I2M_A_l	1I2M_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1I2M	1I2M	401	202
PP_POS__1I4D_A_l__1I4D_AB_r	1I4D_A_l	1I4D_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1I4D	1I4D	183	402
PP_POS__1I9R_LH_l__1I9R_ABC_r	1I9R_LH_l	1I9R_ABC_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1I9R	1I9R	434	438
PP_POS__1IB1_A_l__1IB1_AB_r	1IB1_A_l	1IB1_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1IB1	1IB1	166	460
PP_POS__1IBR_A_l__1IBR_A_r	1IBR_A_l	1IBR_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1IBR	1IBR	440	184
PP_POS__1IJK_A_l__1IJK_AB_r	1IJK_A_l	1IJK_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1IJK	1IJK	208	254
PP_POS__1IQD_M_l__1IQD_AB_r	1IQD_M_l	1IQD_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1IQD	1IQD	159	408
PP_POS__1IRA_1_l__1IRA_R_r	1IRA_1_l	1IRA_R_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1IRA	1IRA	145	310
PP_POS__1J2J_A_l__1J2J_A_r	1J2J_A_l	1J2J_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1J2J	1J2J	39	166
PP_POS__1JIW_A_l__1JIW_A_r	1JIW_A_l	1JIW_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JIW	1JIW	99	470
PP_POS__1JK9_A_l__1JK9_A_r	1JK9_A_l	1JK9_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JK9	1JK9	153	219
PP_POS__1JMO_HL_l__1JMO_A_r	1JMO_HL_l	1JMO_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JMO	1JMO	278	386
PP_POS__1JPS_B_l__1JPS_LH_r	1JPS_B_l	1JPS_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JPS	1JPS	182	425
PP_POS__1JTD_A_l__1JTD_A_r	1JTD_A_l	1JTD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JTD	1JTD	263	268
PP_POS__1JTG_B_l__1JTG_A_r	1JTG_B_l	1JTG_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JTG	1JTG	165	263
PP_POS__1JWH_A_l__1JWH_AB_r	1JWH_A_l	1JWH_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JWH	1JWH	328	366
PP_POS__1JZD_A_l__1JZD_AB_r	1JZD_A_l	1JZD_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1JZD	1JZD	116	431
PP_POS__1K4C_A_l__1K4C_AB_r	1K4C_A_l	1K4C_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1K4C	1K4C	97	431
PP_POS__1K5D_B_l__1K5D_AB_r	1K5D_B_l	1K5D_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1K5D	1K5D	343	338
PP_POS__1K74_A_l__1K74_AB_r	1K74_A_l	1K74_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1K74	1K74	272	235
PP_POS__1KAC_B_l__1KAC_F_r	1KAC_B_l	1KAC_F_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KAC	1KAC	121	185
PP_POS__1KKL_A_l__1KKL_ABC_r	1KKL_A_l	1KKL_ABC_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KKL	1KKL	87	471
PP_POS__1KLU_A_l__1KLU_AB_r	1KLU_A_l	1KLU_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KLU	1KLU	238	369
PP_POS__1KTZ_A_l__1KTZ_A_r	1KTZ_A_l	1KTZ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KTZ	1KTZ	105	112
PP_POS__1KXP_B_l__1KXP_B_r	1KXP_B_l	1KXP_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KXP	1KXP	453	371
PP_POS__1KXQ_H_l__1KXQ_A_r	1KXQ_H_l	1KXQ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1KXQ	1KXQ	120	496
PP_POS__1LFD_A_l__1LFD_A_r	1LFD_A_l	1LFD_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1LFD	1LFD	87	166
PP_POS__1M10_B_l__1M10_A_r	1M10_B_l	1M10_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1M10	1M10	266	208
PP_POS__1M27_A_l__1M27_AB_r	1M27_A_l	1M27_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1M27	1M27	57	115
PP_POS__1MAH_A_l__1MAH_B_r	1MAH_A_l	1MAH_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1MAH	1MAH	61	533
PP_POS__1ML0_A_l__1ML0_AB_r	1ML0_A_l	1ML0_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ML0	1ML0	71	742
PP_POS__1MLC_A_l__1MLC_AB_r	1MLC_A_l	1MLC_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1MLC	1MLC	129	432
PP_POS__1MQ8_A_l__1MQ8_A_r	1MQ8_A_l	1MQ8_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1MQ8	1MQ8	173	185
PP_POS__1N2C_AB_l__1N2C_ABCD_r	1N2C_AB_l	1N2C_ABCD_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1N2C	1N2C	575	1979
PP_POS__1NCA_A_l__1NCA_LH_r	1NCA_A_l	1NCA_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1NCA	1NCA	388	435
PP_POS__1NSN_A_l__1NSN_LH_r	1NSN_A_l	1NSN_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1NSN	1NSN	137	427
PP_POS__1NW9_A_l__1NW9_A_r	1NW9_A_l	1NW9_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1NW9	1NW9	100	242
PP_POS__1OC0_A_l__1OC0_A_r	1OC0_A_l	1OC0_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1OC0	1OC0	36	373
PP_POS__1OFU_A_l__1OFU_AB_r	1OFU_A_l	1OFU_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1OFU	1OFU	306	238
PP_POS__1OPH_A_l__1OPH_A_r	1OPH_A_l	1OPH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1OPH	1OPH	223	372
PP_POS__1OYV_A_l__1OYV_A_r	1OYV_A_l	1OYV_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1OYV	1OYV	115	274
PP_POS__1PPE_A_l__1PPE_A_r	1PPE_A_l	1PPE_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1PPE	1PPE	29	223
PP_POS__1PVH_A_l__1PVH_A_r	1PVH_A_l	1PVH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1PVH	1PVH	159	208
PP_POS__1PXV_A_l__1PXV_A_r	1PXV_A_l	1PXV_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1PXV	1PXV	111	175
PP_POS__1QA9_A_l__1QA9_A_r	1QA9_A_l	1QA9_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1QA9	1QA9	171	179
PP_POS__1QFW_AB_l__1QFW_IM_r	1QFW_AB_l	1QFW_IM_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1QFW	1QFW	196	229
PP_POS__1R0R_I_l__1R0R_E_r	1R0R_I_l	1R0R_E_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1R0R	1R0R	51	274
PP_POS__1R6Q_A_l__1R6Q_X_r	1R6Q_A_l	1R6Q_X_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1R6Q	1R6Q	89	142
PP_POS__1R8S_E_l__1R8S_A_r	1R8S_E_l	1R8S_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1R8S	1R8S	195	180
PP_POS__1RKE_A_l__1RKE_A_r	1RKE_A_l	1RKE_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1RKE	1RKE	163	259
PP_POS__1RLB_A_l__1RLB_ABCD_r	1RLB_A_l	1RLB_ABCD_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1RLB	1RLB	175	456
PP_POS__1RV6_A_l__1RV6_AB_r	1RV6_A_l	1RV6_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1RV6	1RV6	92	200
PP_POS__1S1Q_A_l__1S1Q_A_r	1S1Q_A_l	1S1Q_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1S1Q	1S1Q	70	143
PP_POS__1S78_A_l__1S78_HL_r	1S78_A_l	1S78_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1S78	1S78	506	436
PP_POS__1SBB_A_l__1SBB_A_r	1SBB_A_l	1SBB_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1SBB	1SBB	239	238
PP_POS__1SYX_A_l__1SYX_A_r	1SYX_A_l	1SYX_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1SYX	1SYX	62	131
PP_POS__1T6B_X_l__1T6B_A_r	1T6B_X_l	1T6B_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1T6B	1T6B	181	665
PP_POS__1TMQ_A_l__1TMQ_A_r	1TMQ_A_l	1TMQ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1TMQ	1TMQ	117	470
PP_POS__1UDI_B_l__1UDI_A_r	1UDI_B_l	1UDI_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1UDI	1UDI	83	228
PP_POS__1US7_A_l__1US7_A_r	1US7_A_l	1US7_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1US7	1US7	129	207
PP_POS__1VFB_A_l__1VFB_AB_r	1VFB_A_l	1VFB_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1VFB	1VFB	129	224
PP_POS__1WDW_A_l__1WDW_AB_r	1WDW_A_l	1WDW_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1WDW	1WDW	241	773
PP_POS__1WEJ_A_l__1WEJ_LH_r	1WEJ_A_l	1WEJ_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1WEJ	1WEJ	104	433
PP_POS__1WQ1_D_l__1WQ1_A_r	1WQ1_D_l	1WQ1_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1WQ1	1WQ1	171	324
PP_POS__1XD3_A_l__1XD3_A_r	1XD3_A_l	1XD3_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1XD3	1XD3	70	206
PP_POS__1XQS_A_l__1XQS_A_r	1XQS_A_l	1XQS_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1XQS	1XQS	193	259
PP_POS__1XU1_A_l__1XU1_ABD_r	1XU1_A_l	1XU1_ABD_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1XU1	1XU1	39	404
PP_POS__1Y64_A_l__1Y64_A_r	1Y64_A_l	1Y64_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1Y64	1Y64	360	411
PP_POS__1YVB_I_l__1YVB_A_r	1YVB_I_l	1YVB_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1YVB	1YVB	108	241
PP_POS__1Z0K_A_l__1Z0K_A_r	1Z0K_A_l	1Z0K_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1Z0K	1Z0K	46	176
PP_POS__1Z5Y_A_l__1Z5Y_A_r	1Z5Y_A_l	1Z5Y_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1Z5Y	1Z5Y	121	149
PP_POS__1ZHH_A_l__1ZHH_A_r	1ZHH_A_l	1ZHH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZHH	1ZHH	210	338
PP_POS__1ZHI_A_l__1ZHI_A_r	1ZHI_A_l	1ZHI_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZHI	1ZHI	114	203
PP_POS__1ZLI_A_l__1ZLI_A_r	1ZLI_A_l	1ZLI_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZLI	1ZLI	75	402
PP_POS__1ZM4_A_l__1ZM4_C_r	1ZM4_A_l	1ZM4_C_r	1	pp_prepared	same_complex_structure_positive	structural_positive	1ZM4	1ZM4	204	825
PP_POS__2A1A_A_l__2A1A_A_r	2A1A_A_l	2A1A_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2A1A	2A1A	174	255
PP_POS__2A5T_A_l__2A5T_A_r	2A5T_A_l	2A5T_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2A5T	2A5T	278	287
PP_POS__2A9K_X_l__2A9K_A_r	2A9K_X_l	2A9K_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2A9K	2A9K	201	168
PP_POS__2ABZ_A_l__2ABZ_A_r	2ABZ_A_l	2ABZ_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2ABZ	2ABZ	62	303
PP_POS__2AJF_E_l__2AJF_A_r	2AJF_E_l	2AJF_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2AJF	2AJF	183	597
PP_POS__2AYO_A_l__2AYO_A_r	2AYO_A_l	2AYO_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2AYO	2AYO	72	337
PP_POS__2B42_A_l__2B42_X_r	2B42_A_l	2B42_X_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2B42	2B42	185	362
PP_POS__2B4J_A_l__2B4J_AB_r	2B4J_A_l	2B4J_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2B4J	2B4J	83	290
PP_POS__2BTF_A_l__2BTF_B_r	2BTF_A_l	2BTF_B_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2BTF	2BTF	139	371
PP_POS__2C0L_A_l__2C0L_A_r	2C0L_A_l	2C0L_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2C0L	2C0L	123	302
PP_POS__2CFH_A_l__2CFH_A_r	2CFH_A_l	2CFH_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2CFH	2CFH	143	159
PP_POS__2DD8_E_l__2DD8_AB_r	2DD8_E_l	2DD8_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2DD8	2DD8	183	429
PP_POS__2FD6_A_l__2FD6_LH_r	2FD6_A_l	2FD6_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2FD6	2FD6	268	426
PP_POS__2FJG_AB_l__2FJG_HL_r	2FJG_AB_l	2FJG_HL_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2FJG	2FJG	190	429
PP_POS__2FJU_A_l__2FJU_X_r	2FJU_A_l	2FJU_X_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2FJU	2FJU	183	708
PP_POS__2G77_A_l__2G77_A_r	2G77_A_l	2G77_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2G77	2G77	165	314
PP_POS__2GAF_A_l__2GAF_A_r	2GAF_A_l	2GAF_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2GAF	2GAF	291	457
PP_POS__2GTP_A_l__2GTP_A_r	2GTP_A_l	2GTP_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2GTP	2GTP	134	313
PP_POS__2H7V_A_l__2H7V_A_r	2H7V_A_l	2H7V_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2H7V	2H7V	183	270
PP_POS__2HLE_P_l__2HLE_A_r	2HLE_P_l	2HLE_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2HLE	2HLE	141	185
PP_POS__2HMI_CD_l__2HMI_AB_r	2HMI_CD_l	2HMI_AB_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2HMI	2HMI	434	979
PP_POS__2HQS_A_l__2HQS_A_r	2HQS_A_l	2HQS_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2HQS	2HQS	108	397
PP_POS__2HRK_A_l__2HRK_A_r	2HRK_A_l	2HRK_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2HRK	2HRK	103	180
PP_POS__2I25_A_l__2I25_N_r	2I25_A_l	2I25_N_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2I25	2I25	129	113
PP_POS__2I9B_A_l__2I9B_A_r	2I9B_A_l	2I9B_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2I9B	2I9B	123	268
PP_POS__2IDO_A_l__2IDO_A_r	2IDO_A_l	2IDO_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2IDO	2IDO	66	174
PP_POS__2J0T_A_l__2J0T_A_r	2J0T_A_l	2J0T_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2J0T	2J0T	126	157
PP_POS__2J7P_D_l__2J7P_A_r	2J7P_D_l	2J7P_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2J7P	2J7P	259	294
PP_POS__2JEL_A_l__2JEL_LH_r	2JEL_A_l	2JEL_LH_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2JEL	2JEL	85	435
PP_POS__2MTA_A_l__2MTA_MJ_r	2MTA_A_l	2MTA_MJ_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2MTA	2MTA	105	480
PP_POS__2NZ8_A_l__2NZ8_A_r	2NZ8_A_l	2NZ8_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2NZ8	2NZ8	183	305
PP_POS__2O3B_A_l__2O3B_A_r	2O3B_A_l	2O3B_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2O3B	2O3B	135	239
PP_POS__2O8V_A_l__2O8V_A_r	2O8V_A_l	2O8V_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2O8V	2O8V	108	215
PP_POS__2OOB_A_l__2OOB_A_r	2OOB_A_l	2OOB_A_r	1	pp_prepared	same_complex_structure_positive	structural_positive	2OOB	2OOB	70	41
